Name,WMC,TCC,LOCC,NBM,GOD LASS,CBO,ATFD,NOAP,NOA,NOM,FDP,CM,CC,NOAM,AMW,Brainlass
TransactionLogBuffer,144,0.69,929,2,0,1,0,7,16,31,0,31,8,1,4.65,1
JBBProperties,99,0.56,678,2,0,1,0,23,39,13,0,3,2,1,7.62,1
MultiVMTxtReport,44,0.32,386,2,0,7,2,16,21,10,1,2,2,0,4.4,1
MultiVMReport,48,0.6,426,3,0,7,5,22,25,7,3,2,2,0,6.86,1
subClass,2,0,11,0,0,0,0,2,2,3,0,1,1,1,0.67,0
Sub,4,0,51,0,0,0,0,1,6,4,0,1,1,3,1,0
Super,5,0.5,59,0,0,0,0,2,7,5,0,1,1,3,1,0
ResFilter,4,1,32,0,0,0,0,4,5,2,0,0,0,0,2,0
Orderline,28,0.12,175,0,0,5,6,0,18,18,3,6,5,15,1.56,0
Order,24,0.27,179,0,0,4,5,0,16,14,3,9,6,9,1.71,0
Item,6,0.4,46,0,0,1,0,0,5,6,0,4,4,4,1,0
TableGroup,19,1,104,0,0,2,0,3,12,2,0,0,0,0,9.5,0
Run,3,1,69,0,0,2,2,12,15,2,1,0,0,0,1.5,0
TableGroupCompare,20,1,132,0,0,2,0,3,13,2,0,2,2,0,10,0
JBBReportFilenameFilter,3,1,31,0,0,0,0,4,5,2,0,0,0,0,1.5,0
TextiReport,23,0.38,238,0,0,6,2,8,14,8,1,2,2,0,2.88,0
Report,31,0.5,270,0,0,7,6,20,26,6,4,2,2,0,5.17,0
XMLLineDocumentException,2,0,22,0,0,0,0,0,2,2,0,0,0,0,1,0
ScreenException,2,0,22,0,0,0,0,0,2,2,0,0,0,0,1,0
XMLTransactionLog,9,0.5,109,0,0,1,2,4,6,5,1,6,6,0,1.8,0
C3,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0
C2,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0
C1,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0
C3intf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C2intf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SideIntf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
superClass,4,0,17,0,0,0,0,2,2,5,0,2,1,1,0.8,0
StringAndInt,1,1,21,0,0,0,0,2,2,2,0,1,1,0,0.5,0
syncTest,4,0.33,63,0,0,0,0,1,2,4,0,0,0,0,1,0
LoopBounds2,3,1,17,0,0,0,0,0,2,1,0,0,0,0,3,0
digestExpected,2,1,22,0,0,0,0,1,2,2,0,1,1,1,1,0
PepTest,287,0.53,2179,0,0,7,7,4,6,57,3,1,1,0,5.04,0
LoopBounds,10,0.2,69,0,0,0,0,1,3,6,0,0,0,0,1.67,0
Check,22,1,115,0,0,4,8,0,1,3,4,0,0,0,7.33,0
digest,10,1,74,0,0,1,1,1,2,2,1,1,1,0,5,0
TreeMapDataStorage,9,0.5,57,0,0,0,0,0,2,5,0,0,0,0,1.8,0
