,Name,CM,CC,CINT,MAXNESTING,NOAV,CYCLO,LOC,ATFD,FDP,LAA,label
5840,visit,0,0,14,11,10,23,74,0,0,1,1
5925,visit,0,0,4,6,8,21,116,0,0,1,1
5992,visit,0,0,0,5,12,11,67,0,0,1,1
5996,visit,0,0,2,10,11,18,69,0,0,1,1
8207,visit,0,0,0,8,10,21,81,0,0,1,1
8211,visit,0,0,0,5,19,23,108,0,0,1,1
8215,visit,0,0,0,4,10,12,67,0,0,1,1
8274,equals,0,0,0,2,11,7,66,0,0,1,1
9775,determineLocation,0,0,0,7,9,23,73,0,0,1,1
9830,computePaths,1,1,6,5,15,25,176,5,1,0.69,1
10027,SimpleAnimation,1,1,6,4,36,22,88,0,0,1,1
10034,sampledAtUnitTime,0,0,6,6,36,24,101,0,0,1,1
10038,TransformAnimation,1,1,3,2,33,14,88,0,0,1,1
10039,sampledAtUnitTime,0,0,1,4,27,15,90,0,0,1,1
11847,sampleAt,0,0,6,5,58,63,233,0,0,1,1
11849,computeInterval,0,0,2,7,26,45,131,0,0,1,1
12044,interpolate,0,0,1,4,26,22,92,0,0,1,1
12097,interpolate,0,0,11,5,40,25,139,0,0,1,1
12098,interpolate,1,1,4,3,26,12,75,0,0,1,1
12435,main,0,0,1,4,44,22,114,0,0,1,1
12440,getDescriptorClasses,0,0,0,6,7,19,82,0,0,1,1
12507,providers,7,6,0,5,13,11,101,0,0,1,1
12518,compareStreams,1,1,0,5,16,31,98,0,0,1,1
12584,CSSEngine,0,0,4,2,49,15,70,0,0,1,1
12887,normalizeDocument,0,0,1,9,56,91,336,0,0,1,1
12998,compareDocumentPosition,3,3,0,4,18,17,82,0,0,1,1
13392,runImpl,0,0,3,2,16,42,184,0,0,1,1
14003,handlePathSegList,3,3,21,3,42,21,129,0,0,1,1
14041,parseLength,0,0,10,4,13,52,270,0,0,1,1
14283,doParse,0,0,3,3,6,29,171,0,0,1,1
14284,parseViewAttributes,0,0,8,7,12,97,501,0,0,1,1
14291,parseRotate,0,0,2,2,6,10,69,0,0,1,1
14338,parseFloat,0,0,0,4,10,33,176,0,0,1,1
14383,parseRotate,0,0,2,2,6,10,69,0,0,1,1
14391,parseIDValue,0,0,0,9,26,52,143,0,0,1,1
14397,parseWallclockValue,0,0,0,5,24,24,103,0,0,1,1
14543,startElement,0,0,5,4,32,21,101,0,0,1,1
14591,writeNode,0,0,5,7,39,42,173,0,0,1,1
14604,parseXML,3,1,1,3,20,9,69,0,0,1,1
14611,parseStyleSheetPIData,2,2,0,5,12,25,114,0,0,1,1
14806,runImpl,0,0,8,3,22,7,71,0,0,1,1
15046,parseSimpleSelector,0,0,1,5,27,26,132,0,0,1,1
15050,parseTerm,0,0,1,4,58,32,117,0,0,1,1
15051,parseFunction,0,0,1,3,25,73,337,0,0,1,1
15052,hexcolor,0,0,1,3,21,30,73,0,0,1,1
15086,nextToken,0,0,2,3,44,143,522,0,0,1,1
15091,numberUnit,0,0,0,4,21,113,326,0,0,1,1
15661,computeArc,3,2,0,2,45,10,93,0,0,1,1
15712,solveCubic,0,0,0,3,26,22,85,0,0,1,1
15878,mergeRects,4,4,0,6,25,23,98,0,0,1,1
15879,subtract,3,3,0,4,23,18,112,0,0,1,1
15966,fillHardNoCycle,0,0,0,6,49,27,147,0,0,1,1
15967,fillSimpleNoCycle,0,0,0,4,30,14,77,0,0,1,1
15971,MultipleGradientPaintContext,0,0,0,3,35,12,98,0,0,1,1
15972,calculateGradientFractions,0,0,0,3,37,15,84,0,0,1,1
15974,calculateSingleArrayGradient,0,0,0,3,34,7,82,0,0,1,1
15975,calculateMultipleArrayGradient,0,0,0,4,28,10,77,0,0,1,1
15979,indexIntoGradientsArrays,0,0,0,6,27,17,121,0,0,1,1
15980,indexGradientAntiAlias,0,0,0,3,32,26,152,0,0,1,1
15981,getAntiAlias,0,0,0,4,52,39,273,0,0,1,1
16001,RadialGradientPaintContext,1,1,0,3,47,14,83,0,0,1,1
16003,fixedPointSimplestCaseNonCyclicFillRaster,0,0,0,3,38,7,82,0,0,1,1
16005,cyclicCircularGradientFillRaster,0,0,0,4,43,7,107,0,0,1,1
16006,antiAliasFillRaster,0,0,0,4,48,16,257,0,0,1,1
16023,layoutGlyphVector,0,0,3,2,26,12,117,0,0,1,1
16233,copyData,0,0,0,9,52,40,189,0,0,1,1
16490,createRendering,0,0,1,2,63,13,239,0,0,1,1
16537,createRendering,0,0,0,2,28,12,100,0,0,1,1
16605,distributeAcross,0,0,0,3,16,14,74,0,0,1,1
16609,createRendering,0,0,0,2,14,9,70,0,0,1,1
16637,createRendering,0,0,1,2,31,13,135,0,0,1,1
16722,createRendering,0,0,0,2,29,10,98,0,0,1,1
16741,createRendering,0,0,0,2,38,9,159,0,0,1,1
16743,createTile,0,0,0,3,69,38,349,0,0,1,1
16809,getNormalArray,2,2,0,4,69,34,412,0,0,1,1
16821,specialProcessRow,0,0,0,6,49,34,285,0,0,1,1
16822,specialProcessColumn,0,0,0,6,44,34,280,0,0,1,1
16823,filter,0,0,0,6,85,89,693,0,0,1,1
16828,TileRed,0,0,0,2,22,6,68,0,0,1,1
16832,fillRasterFrom,0,0,0,2,20,4,76,0,0,1,1
16899,copyToRasterByBlocks,0,0,2,4,41,39,147,0,0,1,1
16920,handleZero,0,0,1,2,19,13,114,0,0,1,1
16921,handleReplicate,0,0,0,3,45,26,179,0,0,1,1
16930,copyData,0,0,0,3,28,12,130,0,0,1,1
16933,copyData,0,0,0,3,20,8,91,0,0,1,1
16941,copyData,0,0,0,4,23,15,138,0,0,1,1
16948,copyData,0,0,0,4,46,11,97,0,0,1,1
16951,CompositeRed,1,1,2,4,27,13,81,0,0,1,1
16960,copyData,0,0,5,5,35,18,115,0,0,1,1
16965,filterBL,0,0,1,4,66,9,182,0,0,1,1
16966,filterBLPre,0,0,1,4,71,9,189,0,0,1,1
16967,filterNN,0,0,1,3,53,6,92,0,0,1,1
16970,copyData,0,0,0,3,29,7,83,0,0,1,1
16983,makeColorModel,0,0,0,4,19,17,68,0,0,1,1
16991,copyData,0,0,0,3,18,10,95,0,0,1,1
16992,boxFilterH,0,0,0,3,32,7,115,0,0,1,1
16993,boxFilterV,0,0,0,3,32,7,117,0,0,1,1
17007,splitChannel,0,0,0,4,16,13,121,0,0,1,1
17021,INT_PACK_BYTE_COMP_Impl,0,0,0,3,32,6,79,0,0,1,1
17022,copyData,0,0,0,5,29,12,111,0,0,1,1
17031,copyData,0,0,0,2,41,7,169,0,0,1,1
17060,genRect,0,0,6,6,48,19,141,0,0,1,1
17100,noise2,0,0,0,2,19,5,67,0,0,1,1
17101,turbulence_4,0,0,0,2,25,14,96,0,0,1,1
17102,turbulence,0,0,0,4,15,39,97,0,0,1,1
17103,turbulenceStitch,0,0,1,4,16,39,99,0,0,1,1
17104,turbulenceFractal_4,0,0,0,2,24,10,84,0,0,1,1
17107,copyData,0,0,1,5,32,19,158,0,0,1,1
17133,readURL,1,1,7,6,19,28,110,0,0,1,1
17464,isDynamicElement,0,0,1,3,22,20,77,0,0,1,1
17619,evaluate,0,0,0,2,9,4,77,0,0,1,1
17745,getTextChunkACIs,0,0,0,5,31,28,125,0,0,1,1
17746,createModifiedACIForFontMatching,0,0,4,6,35,27,168,0,0,1,1
17934,getHighlightShape,0,0,2,8,26,29,98,0,0,1,1
17936,makeConvexHull,0,0,0,5,33,24,126,0,0,1,1
17937,addPtsToPath,0,0,0,3,17,7,102,0,0,1,1
17942,doSpacing,0,0,10,6,43,32,167,0,0,1,1
17955,textWrap,0,0,22,5,44,25,133,0,0,1,1
17967,createFontFace,3,3,0,2,66,18,224,0,0,1,1
17996,primitivePaint,0,0,0,3,26,14,84,0,0,1,1
18046,addScriptingListenersOn,0,0,1,4,28,26,123,0,0,1,1
18048,removeScriptingListenersOn,0,0,1,3,28,5,80,0,0,1,1
18100,getFontList,0,0,10,2,28,7,72,0,0,1,1
18202,parseKeySplines,0,0,0,5,16,18,72,0,0,1,1
18225,parseValue,0,0,5,4,17,43,119,0,0,1,1
18350,createFilter,0,0,3,5,22,10,74,0,0,1,1
18430,createFont,1,1,0,3,36,7,66,0,0,1,1
18438,formMatches,0,0,0,6,19,21,88,0,0,1,1
18445,createGlyphVector,0,0,2,6,36,16,96,0,0,1,1
18465,createKern,1,1,2,5,46,24,149,0,0,1,1
18478,buildGradient,0,0,0,2,31,14,91,0,0,1,1
18498,createPaint,0,0,6,2,27,8,153,0,0,1,1
18520,buildGradient,0,0,0,2,33,14,104,0,0,1,1
18531,getIntersectionList,0,0,6,5,29,35,134,0,0,1,1
18532,getEnclosureList,0,0,5,5,27,33,125,0,0,1,1
18610,convertFilterPrimitiveRegion,1,1,1,4,41,22,163,0,0,1,1
18776,EcmaNoLoadTest,0,0,0,2,18,7,71,0,0,1,1
18912,paint,1,1,7,4,22,29,135,0,0,1,1
18971,buildMiddleMarkerProxies,0,0,0,3,14,9,74,0,0,1,1
18973,computeInSlope,0,0,0,3,24,10,85,0,0,1,1
18974,computeOutSlope,0,0,0,2,22,8,68,0,0,1,1
19052,getDirtyAreas,2,1,6,3,17,21,107,0,0,1,1
19127,getBackground,0,0,6,4,18,16,83,0,0,1,1
19143,createRendering,0,0,1,2,14,17,75,0,0,1,1
19183,addImports,0,0,0,4,12,14,71,0,0,1,1
19437,parseSelector,0,0,2,10,27,25,97,0,0,1,1
19442,nextToken,0,0,2,3,12,17,69,0,0,1,1
19538,dispatchMouseEvent,0,0,2,3,14,8,112,0,0,1,1
19607,BidiAttributedCharacterIterator,1,1,0,3,60,28,196,0,0,1,1
19635,assignArabicForms,1,1,0,6,39,34,168,0,0,1,1
19739,hasFamilyName,1,1,0,7,9,18,75,0,0,1,1
19884,performDefaultLayout,0,0,0,2,23,5,75,0,0,1,1
20029,findLineBrk,1,1,0,5,28,25,135,0,0,1,1
20122,repaint,0,0,3,3,38,21,134,0,0,1,1
20165,repaint,0,0,4,4,28,12,71,0,0,1,1
20245,nextInAttList,0,0,0,3,7,139,374,0,0,1,1
20265,XMLStreamNormalizingReader,0,0,0,6,9,23,70,0,0,1,1
20549,filterRow,1,1,0,6,18,21,125,0,0,1,1
20600,parse_IEND_chunk,0,0,0,2,54,24,99,0,0,1,1
20607,processPixels,0,0,0,4,59,42,251,0,0,1,1
20608,decodePass,0,0,0,3,35,13,81,0,0,1,1
20640,encodePass,0,0,1,3,41,17,104,0,0,1,1
20666,parse_IHDR_chunk,0,0,0,4,50,51,195,0,0,1,1
20667,parse_IEND_chunk,0,0,2,2,57,24,112,0,0,1,1
20680,parse_tRNS_chunk,0,0,0,5,34,17,77,0,0,1,1
20688,processPixels,0,0,0,4,61,42,253,0,0,1,1
20689,decodePass,0,0,0,3,35,13,81,0,0,1,1
20697,runImpl,0,0,2,2,20,3,74,0,0,1,1
21053,computeValue,0,0,2,3,21,21,70,0,0,1,1
21093,createValue,0,0,3,2,17,17,80,0,0,1,1
21168,readChar,0,0,0,3,12,25,84,0,0,1,1
21182,nodeToBeRemoved,1,1,0,3,14,19,67,0,0,1,1
21297,makeMarginInfo,0,0,0,6,32,12,71,0,0,1,1
21358,buildShape,0,0,1,2,24,7,67,0,0,1,1
21374,textWrapTextChunk,1,1,25,5,66,47,364,0,0,1,1
21376,layoutChunk,0,0,11,4,24,10,79,0,0,1,1
21397,newLine,1,1,2,3,34,13,67,0,0,1,1
21661,initializeJMenuItem,0,0,2,3,17,7,67,0,0,1,1
21747,main,0,0,0,9,16,22,103,0,0,1,1
22326,run,1,0,4,4,11,10,68,0,0,1,1
22354,initializeGUI,0,0,5,2,62,15,141,0,0,1,1
22355,savePreferences,2,0,5,2,54,13,100,0,0,1,1
23001,print,1,0,1,3,33,16,100,0,0,1,1
23002,print,0,0,0,3,25,6,96,0,0,1,1
23016,printXMLDecl,1,1,0,3,16,12,71,0,0,1,1
23039,print,1,1,6,4,12,14,81,0,0,1,1
23043,printElementDeclaration,0,0,1,8,15,23,108,0,0,1,1
23044,printChildren,0,0,1,4,13,19,76,0,0,1,1
23304,convertLookupTables,0,0,0,3,23,15,82,0,0,1,1
23365,toSVGTransform,1,1,2,3,13,8,102,0,0,1,1
23374,toSVG,0,0,0,4,44,20,109,0,0,1,1
23444,writeXml,0,0,2,3,14,16,80,0,0,1,1
23978,computeTranscodingHints,0,0,0,3,45,21,108,0,0,1,1
24179,runImpl,0,0,1,3,22,7,85,0,0,1,1
