Name,LOC,CYCLO,MAXNESTING,NOAV,ATFD,LAA,FDP,BrainMethod
determineLocation,73,23,7,9,0,1,0,1
visit,67,12,4,10,0,1,0,1
visit,108,23,5,19,0,1,0,1
visit,81,21,8,10,0,1,0,1
visit,69,18,10,11,0,1,0,1
visit,67,11,5,12,0,1,0,1
visit,63,20,3,10,2,0,1,1
visit,59,20,7,8,0,1,0,1
visit,116,21,6,8,0,1,0,1
visit,61,25,5,13,0,1,0,1
visit,74,23,11,10,0,1,0,1
getVariableAppended,65,19,9,18,0,1,0,1
visit,64,19,8,16,0,1,0,1
computePaths,176,25,5,15,5,0.69,1,1
veryLongMethod,102,1,0,0,0,1,0,0
foo,3,1,0,0,0,1,0,0
Inner,1,1,0,1,0,1,0,0
Foo,1,1,0,0,0,1,0,0
Foo,1,1,0,0,0,1,0,0
Foo,1,1,0,0,0,1,0,0
myMethod,7,1,1,0,0,1,0,0
myMethod,20,2,1,1,0,1,0,0
main,5,1,0,2,0,1,0,0
main,5,1,0,2,0,1,0,0
main,5,1,0,2,0,1,0,0
main,5,1,0,2,0,1,0,0
aMethod,5,1,0,2,0,1,0,0
aMethod,5,2,1,2,0,1,0,0
print,3,1,0,2,0,1,0,0
asMethodParameter,4,1,0,1,0,1,0,0
aMethod,4,1,0,1,0,1,0,0
Inner,0,0,0,0,0,1,0,0
bar,3,1,0,0,0,1,0,0
foo,3,1,0,0,0,1,0,0
testMethod,9,1,0,0,0,1,0,0
incChild,3,1,0,0,0,1,0,0
getAttributeTuples,0,0,0,0,0,1,0,0
dup,5,2,1,2,0,1,0,0
dup,5,2,1,2,0,1,0,0
foo,3,1,0,0,0,1,0,0
foo,3,1,0,0,0,1,0,0
foo,4,1,0,0,0,1,0,0
foo,3,2,1,0,0,1,0,0
main,7,1,0,0,0,1,0,0
duplicatedMethod,7,1,0,5,0,1,0,0
duplicatedMethod,7,1,0,5,0,1,0,0
foo,7,3,2,1,0,1,0,0
main,3,1,0,1,0,1,0,0
main,11,1,0,1,0,1,0,0
main,11,1,0,1,0,1,0,0
main,11,3,2,0,0,1,0,0
getPasswordAuthentication,3,1,0,2,0,1,0,0
downloadFileFromURL,19,1,0,6,0,1,0,0
main,48,5,4,13,0,1,0,0
tokenizeTest,3,1,0,0,0,1,0,0
newTokenizer,3,1,0,0,0,1,0,0
XmlCPDTokenizerTest,3,1,0,0,0,1,0,0
getLexerForSource,4,1,0,2,0,1,0,0
XmlTokenizer,0,0,0,0,0,1,0,0
XmlLanguage,3,1,0,0,0,1,0,0
XslLanguageModule,4,1,0,0,0,1,0,0
getNode,0,0,0,0,0,1,0,0
setEndLocation,8,2,1,7,0,1,0,0
setBeginLocation,8,2,1,7,0,1,0,0
unexpandEntities,37,7,4,10,0,1,0,0
determine,3,1,0,1,0,1,0,0
DOMLineNumbers,5,1,0,1,0,1,0,0
getUserData,3,1,0,2,0,1,0,0
setUserData,3,1,0,4,0,1,0,0
getFeature,3,1,0,3,0,1,0,0
isEqualNode,3,1,0,2,0,1,0,0
lookupNamespaceURI,3,1,0,2,0,1,0,0
isDefaultNamespace,3,1,0,2,0,1,0,0
lookupPrefix,3,1,0,2,0,1,0,0
isSameNode,3,1,0,2,0,1,0,0
setTextContent,3,1,0,2,0,1,0,0
getTextContent,3,1,0,1,0,1,0,0
compareDocumentPosition,3,1,0,2,0,1,0,0
getBaseURI,3,1,0,1,0,1,0,0
hasAttributes,3,1,0,1,0,1,0,0
getLocalName,3,1,0,1,0,1,0,0
setPrefix,3,1,0,2,0,1,0,0
getPrefix,3,1,0,1,0,1,0,0
getNamespaceURI,3,1,0,1,0,1,0,0
isSupported,3,1,0,3,0,1,0,0
normalize,3,1,0,1,0,1,0,0
cloneNode,3,1,0,2,0,1,0,0
hasChildNodes,3,1,0,1,0,1,0,0
appendChild,3,1,0,2,0,1,0,0
removeChild,3,1,0,2,0,1,0,0
replaceChild,3,1,0,3,0,1,0,0
insertBefore,3,1,0,3,0,1,0,0
getOwnerDocument,3,1,0,1,0,1,0,0
getAttributes,3,1,0,1,0,1,0,0
getNextSibling,3,1,0,1,0,1,0,0
getPreviousSibling,3,1,0,1,0,1,0,0
getLastChild,3,1,0,1,0,1,0,0
getFirstChild,3,1,0,1,0,1,0,0
getChildNodes,3,1,0,1,0,1,0,0
getParentNode,3,1,0,1,0,1,0,0
getNodeType,3,1,0,1,0,1,0,0
setNodeValue,3,1,0,2,0,1,0,0
getNodeValue,3,1,0,1,0,1,0,0
getNodeName,3,1,0,1,0,1,0,0
AbstractDomNodeProxy,4,1,0,0,0,1,0,0
WsdlLanguageModule,4,1,0,0,0,1,0,0
getParserOptions,3,1,0,0,0,1,0,0
XmlXPathRule,10,1,0,8,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,0,0,1,0,0
visitAttributeNodes,8,3,2,5,0,1,0,0
visitDomNode,36,11,2,3,0,1,0,0
visit,9,1,0,3,0,1,0,0
visit,7,2,1,4,0,1,0,0
visitAll,6,1,0,2,0,1,0,0
apply,3,1,0,2,0,1,0,0
getParserOptions,3,1,0,0,0,1,0,0
defineProperties,9,1,0,7,0,1,0,0
AbstractXmlRule,4,1,0,1,0,1,0,0
AbstractXmlRule,4,1,0,1,0,1,0,0
AbstractWsdlRule,3,1,0,1,0,1,0,0
clone,3,1,0,1,0,1,0,0
XmlParsingHelper,3,1,0,0,0,1,0,0
assertLineNumbers,6,1,0,5,0,1,0,0
assertTextNode,11,1,0,5,0,1,0,0
assertTextNode,3,1,0,2,0,1,0,0
assertNode,16,3,2,8,0,1,0,0
testAutoclosingElementLength,4,1,0,2,0,1,0,0
testBug1518,3,1,0,1,0,1,0,0
testWithProcessingInstructions,12,1,0,6,0,1,0,0
testParsingWithValidation,21,1,1,9,1,0,1,0
testParsingNotNamespaceAware,26,1,0,7,1,0,1,0
testDefaultParsingNamespaces,24,1,0,6,0,1,0,0
testParsingIgnoreElementContentWhitespace,20,1,0,8,1,0,1,0
testParsingIgnoreComments,22,1,0,8,1,0,1,0
testParsingDoNotExpandEntities,34,2,1,9,1,0,1,0
testParsingCoalescingEnabled,22,1,0,8,1,0,1,0
testDefaultParsing,22,1,0,7,0,1,0,0
testLineNumbers,36,1,0,7,0,1,0,0
MyRule,0,0,0,0,0,1,0,0
suite,3,1,0,0,0,1,0,0
testEqualsHashcode,32,2,1,10,1,0,1,0
testSetters,43,1,0,1,9,0,2,0
testConstructor,38,1,0,8,0,1,0,0
testDefaults,20,1,0,2,0,1,0,0
equals,15,11,1,3,0,1,0,0
hashCode,12,8,1,0,0,1,0,0
setXincludeAware,3,1,0,0,0,1,0,0
isXincludeAware,3,1,0,0,0,1,0,0
setValidating,3,1,0,0,0,1,0,0
isValidating,3,1,0,0,0,1,0,0
setNamespaceAware,3,1,0,0,0,1,0,0
